PARCELID,Shape_Leng,Shape_Area,PARID2,parid3,Dwelling — Sheet1_MAP ROUTING,Dwelling — Sheet1_CARD,Dwelling — Sheet1_RMTOT,Dwelling — Sheet1_RMBED,Dwelling — Sheet1_RMFAM,Dwelling — Sheet1_RMDIN,Dwelling — Sheet1_FIXBATH,Dwelling — Sheet1_FIXHALF,Dwelling — Sheet1_LIVUNITS,Dwelling — Sheet1_STYLE,Dwelling — Sheet1_STORIES,Dwelling — Sheet1_ATTIC,Dwelling — Sheet1_BSMT,Dwelling — Sheet1_FINBSMTAREA,Dwelling — Sheet1_EXTWALL,Dwelling — Sheet1_UNFINAREA,Dwelling — Sheet1_RECROMAREA,Dwelling — Sheet1_HEAT,Dwelling — Sheet1_FIXADDL,Dwelling — Sheet1_FIXTOT,Dwelling — Sheet1_WBFP_S,Dwelling — Sheet1_WBFP_O,Dwelling — Sheet1_CARSPACESATT,Dwelling — Sheet1_CARSPACESBSMT,Dwelling — Sheet1_CARPORTSPACES,Dwelling — Sheet1_GRADE,Dwelling — Sheet1_WELLSEPTIC,Dwelling — Sheet1_YRBLT,Dwelling — Sheet1_YRREMOD,Dwelling — Sheet1_EFFYR,Dwelling — Sheet1_COND,Dwelling — Sheet1_AREAFACT,Dwelling — Sheet1_ADJAREA,Dwelling — Sheet1_SHFACT,Dwelling — Sheet1_CNSTFACT,Dwelling — Sheet1_GRDFACT,Dwelling — Sheet1_DEPR,Dwelling — Sheet1_MKTADJ,Dwelling — Sheet1_MGFA,Dwelling — Sheet1_ADDNAREA,Dwelling — Sheet1_SFLA,Dwelling — Sheet1_FLR1AREA,Dwelling — Sheet1_ADJRCNLD,Value — Sheet1_TaxYear,Value — Sheet1_ValueType,Value — Sheet1_LUC,Value — Sheet1_LUCDesc,Value — Sheet1_MarketLand,Value — Sheet1_MarketImpr,Value — Sheet1_CauvLand,Value — Sheet1_TaxableLand,Value — Sheet1_TaxableImpr
"010-218950",4982.55932235000,880437.53627299995,"010-218950","010-218950-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,502,502 - VAC UNPLT RES LAND: 10-19.99 AC,236000,0,57400,20090,0
"010-218953",4973.93022344000,932948.37623099994,"010-218953","010-218953-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,403,403 - APARTMENTS 40+ FAMILY,4301400,23969700,0,1505490,8389400
"010-218956",2228.37969210000,275362.37284500001,"010-218956","010-218956-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,455,455 - COMMERCIAL GARAGE,1710500,7767500,0,598680,2718630
"010-218957",6736.69670663000,1286398.07560999994,"010-218957","010-218957-00","010-O111F-02500",1,6,3,1,,3,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",C - FULL CRAWL,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,2,11,1,1,3 - 3 Car Spaces,,,C-1 - AVERAGE -,,1984,,,A - AVERAGE,1.28,1680,1,1.016,0.95,88,,1680,0,1680,1691,244100,2024,Base,403,403 - APARTMENTS 40+ FAMILY,5868200,25829700,0,2053870,9040400
"010-218958",3452.50166021000,733039.47083200002,"010-218958","010-218958-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,502,502 - VAC UNPLT RES LAND: 10-19.99 AC,216700,0,0,75850,0
"010-238413",608.62632099100,16861.17125490000,"010-238413","010-238413-00","010-N044RRR-23500",1,7,3,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,3,11,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1998,,,A - AVERAGE,0.657,612,1.69,1,1.05,78,,612,228,1452,621,205700,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,151600,205700,0,53060,72000
"010-238414",582.65492589700,15738.94037890000,"010-238414","010-238414-00","010-N044RRR-23400",1,7,3,1,,2,1,"1","03 - MULTI-LEVEL",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,620,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,2,10,1,1,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1997,,,A - AVERAGE,0.661,620,1,1.016,1.05,77,,620,512,1132,633,207300,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,149800,207300,0,52430,72560
"010-238415",554.63163125800,14736.01930380000,"010-238415","010-238415-00","010-N044RRR-23300",1,8,3,,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,10,1,1,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1997,1999,1999,A - AVERAGE,1.573,2182,1,1.016,1.05,77,,2182,32,2214,2196,296000,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,148500,296000,0,51980,103600
"010-238416",532.20085381400,13862.42135660000,"010-238416","010-238416-00","010-N044RRR-23200",1,9,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,2,10,1,1,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1998,,,A - AVERAGE,0.717,716,1.69,1.027,1.05,78,,716,270,1702,724,228400,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,146700,228400,0,51350,79940
"010-238417",525.05285442300,13719.60311690000,"010-238417","010-238417-00","010-N044RRR-23100",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,,92 - 2/6 MASONRY TO FRAME .333,,,2 - HEAT/AIR CON,2,10,1,1,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1998,,,A - AVERAGE,0.867,972,1.69,1.054,1.05,78,,972,196,2140,981,267300,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,145500,267300,0,50930,93560
"010-238418",525.75553633400,13745.65388520000,"010-238418","010-238418-00","010-N044RRR-23000",1,6,3,,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,92 - 2/6 MASONRY TO FRAME .333,,,2 - HEAT/AIR CON,2,10,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1998,,,A - AVERAGE,0.509,360,1.69,1.054,1.05,78,,360,672,1392,375,208600,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,145500,209600,0,50930,73360
"010-238419",526.34516066500,13760.53618000000,"010-238419","010-238419-00","010-N044RRR-22900",1,6,3,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,3,11,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,1997,,,A - AVERAGE,0.671,636,1.69,1,1.05,77,,636,216,1488,645,203800,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,145500,203800,0,50930,71330
"010-243355",3191.29998831000,628985.66544899996,"010-243355","010-243355-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,403,403 - APARTMENTS 40+ FAMILY,4428400,31532100,0,1549940,11036240
"010-265637",2513.90434287000,283903.50447599997,"010-265637","010-265637-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,403,403 - APARTMENTS 40+ FAMILY,1378900,18433300,0,482620,6451660
"010-265644",4494.79285971000,1203612.03309000004,"010-265644","010-265644-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,503,503 - VAC UNPLT RES LAND: 20-29.99 AC,708800,0,79600,27860,0
"010-268864",993.62221418600,40344.88469030000,"010-268864","010-268864-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,401,401 - APARTMENTS 4 TO 19 FAMILY,129900,2012800,0,45470,704480
"010-287876",3494.93528057000,465224.33463599999,"010-287876","010-287876-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Exempt,660,660 - EXEMPT PROPERTY OWNED BY PARK DIST,263500,6300,0,92230,2210
"010-296459",1361.15568481000,114818.67463199999,"010-296459","010-296459-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,501,501 - VAC UNPLT RES LAND:     0-9.99 AC,211000,0,0,73850,0
"010-296460",4096.05137918000,829450.89220799995,"010-296460","010-296460-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,403,403 - APARTMENTS 40+ FAMILY,4012100,40287900,0,1404240,14100770
"010-300570",2282.86800161000,313516.13773500000,"010-300570","010-300570-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,481,481 - MINI WAREHOUSE,967100,4424700,0,338490,1548650
