"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","status","price","listedDate","removedDate","daysOnMarket"
"1","4669-Point-Pleasant-Dr,-Hilliard,-OH-43026","4669 Point Pleasant Dr, Hilliard, OH 43026","4669 Point Pleasant Dr",NA,"Hilliard","OH","43026","Franklin",40.0204,-83.1388,"Single Family","Standard",3,1.5,1200,NA,NA,"Active",1700,"2025-09-03T00:00:00.000Z","list()",1
"1","3300-Darby-Glen-Blvd,-Hilliard,-OH-43026","3300 Darby Glen Blvd, Hilliard, OH 43026","3300 Darby Glen Blvd",NA,"Hilliard","OH","43026","Franklin",40.02,-83.1323,"Single Family","Standard",3,2.5,1382,NA,1995,"Active",2340,"2025-09-03T00:00:00.000Z","list()",1
"1","5067-Stoneybrook-Blvd,-Hilliard,-OH-43026","5067 Stoneybrook Blvd, Hilliard, OH 43026","5067 Stoneybrook Blvd",NA,"Hilliard","OH","43026","Franklin",40.0166,-83.1467,"Townhouse","Standard",2,1.5,1004,NA,NA,"Active",1600,"2025-09-03T00:00:00.000Z","list()",1
"1","2965-Brookwell-Dr,-Hilliard,-OH-43026","2965 Brookwell Dr, Hilliard, OH 43026","2965 Brookwell Dr",NA,"Hilliard","OH","43026","Franklin",40.0033,-83.1678,"Single Family","Standard",3,2.5,1452,NA,NA,"Active",2565,"2025-09-03T00:00:00.000Z","list()",1
"1","5364-Whirlwind-Cove-Dr,-Hilliard,-OH-43026","5364 Whirlwind Cove Dr, Hilliard, OH 43026","5364 Whirlwind Cove Dr",NA,"Hilliard","OH","43026","Franklin",40.0056,-83.1519,"Single Family","Standard",3,2.5,NA,NA,NA,"Active",2480,"2025-09-03T00:00:00.000Z","list()",1
"1","5011-Hidden-View-Dr,-Hilliard,-OH-43026","5011 Hidden View Dr, Hilliard, OH 43026","5011 Hidden View Dr",NA,"Hilliard","OH","43026","Franklin",40.0067,-83.1422,"Single Family","Standard",3,2.5,1248,NA,NA,"Active",2410,"2025-09-03T00:00:00.000Z","list()",1
"1","1812-Bennigan-Dr,-Hilliard,-OH-43026","1812 Bennigan Dr, Hilliard, OH 43026","1812 Bennigan Dr",NA,"Hilliard","OH","43026","Franklin",39.988,-83.1558,"Apartment","Standard",2,1.5,1024,NA,NA,"Active",1749,"2025-09-03T00:00:00.000Z","list()",1
"1","4821-Lady-Jane-Ave,-Hilliard,-OH-43026","4821 Lady Jane Ave, Hilliard, OH 43026","4821 Lady Jane Ave",NA,"Hilliard","OH","43026","Franklin",40.0501,-83.1602,"Townhouse","Standard",3,2.5,1504,NA,NA,"Active",1900,"2025-09-03T00:00:00.000Z","list()",1
"1","5368-Davidson-Rd,-Hilliard,-OH-43026","5368 Davidson Rd, Hilliard, OH 43026","5368 Davidson Rd",NA,"Hilliard","OH","43026","Franklin",40.048,-83.1637,"Single Family","Standard",4,2.5,2034,NA,NA,"Active",2790,"2025-09-03T00:00:00.000Z","list()",1
"1","2800-Pheasant-Field-Dr,-Hilliard,-OH-43026","2800 Pheasant Field Dr, Hilliard, OH 43026","2800 Pheasant Field Dr",NA,"Hilliard","OH","43026","Franklin",40.0083,-83.1754,"Single Family","Standard",4,2.5,1729,NA,NA,"Active",2950,"2025-09-03T00:00:00.000Z","list()",1
"1","4149-Wayne-St,-Apt-3,-Hilliard,-OH-43026","4149 Wayne St, Apt 3, Hilliard, OH 43026","4149 Wayne St","Apt 3","Hilliard","OH","43026","Franklin",40.0366,-83.1588,"Apartment","Standard",2,2,775,13504,1959,"Active",1050,"2025-09-03T00:00:00.000Z","list()",1
"1","4609-Paxton-Dr-S,-Hilliard,-OH-43026","4609 Paxton Dr S, Hilliard, OH 43026","4609 Paxton Dr S",NA,"Hilliard","OH","43026","Franklin",40.022,-83.1374,"Single Family","Standard",4,1.5,1308,NA,NA,"Active",2715,"2023-06-22T00:00:00.000Z","list()",805
"1","5689-Andrea-Ln,-Hilliard,-OH-43026","5689 Andrea Ln, Hilliard, OH 43026","5689 Andrea Ln",NA,"Hilliard","OH","43026","Franklin",39.9927,-83.1577,"Single Family","Standard",3,1,900,NA,NA,"Active",2000,"2023-10-20T00:00:00.000Z","list()",685
"1","2726-Anderson-Dr,-Hilliard,-OH-43026","2726 Anderson Dr, Hilliard, OH 43026","2726 Anderson Dr",NA,"Hilliard","OH","43026","Franklin",40.0061,-83.1763,"Single Family","Standard",4,4,3450,NA,NA,"Active",3500,"2023-11-21T00:00:00.000Z","list()",653
"1","2967-Honeysuckle-Ln,-Hilliard,-OH-43026","2967 Honeysuckle Ln, Hilliard, OH 43026","2967 Honeysuckle Ln",NA,"Hilliard","OH","43026","Franklin",40.0113,-83.1635,"Single Family","Standard",4,3,2513,NA,1993,"Active",3400,"2024-03-15T00:00:00.000Z","list()",538
"1","5586-Edie-Dr,-Hilliard,-OH-43026","5586 Edie Dr, Hilliard, OH 43026","5586 Edie Dr",NA,"Hilliard","OH","43026","Franklin",40.0523,-83.1675,"Single Family","Standard",4,2.5,2040,NA,NA,"Active",2695,"2024-06-25T00:00:00.000Z","list()",436
"1","7711-Hayden-Run-Rd,-Hilliard,-OH-43026","7711 Hayden Run Rd, Hilliard, OH 43026","7711 Hayden Run Rd",NA,"Hilliard","OH","43026","Franklin",40.0584,-83.2071,"Single Family","Standard",4,2.5,2640,140699,1950,"Active",3400,"2025-05-28T00:00:00.000Z","list()",99
"1","5022-Stoneybrook-Blvd,-Unit-8B,-Hilliard,-OH-43026","5022 Stoneybrook Blvd, Unit 8B, Hilliard, OH 43026","5022 Stoneybrook Blvd","Unit 8B","Hilliard","OH","43026","Franklin",40.0172,-83.1458,"Condo","Standard",2,1.5,832,436,1989,"Active",1650,"2025-07-14T00:00:00.000Z","list()",52
"1","2958-Badger-Dr,-Hilliard,-OH-43026","2958 Badger Dr, Hilliard, OH 43026","2958 Badger Dr",NA,"Hilliard","OH","43026","Franklin",40.0123,-83.1439,"Single Family","Standard",3,1.5,1412,NA,NA,"Active",2390,"2025-07-25T00:00:00.000Z","list()",41
"1","5608-Maple-Dell-Ct,-Hilliard,-OH-43026","5608 Maple Dell Ct, Hilliard, OH 43026","5608 Maple Dell Ct",NA,"Hilliard","OH","43026","Franklin",40.0419,-83.1689,"Single Family","Standard",4,2.5,2654,NA,NA,"Active",3499,"2025-07-25T00:00:00.000Z","list()",41
"1","2131-Ripple-Rd,-Hilliard,-OH-43026","2131 Ripple Rd, Hilliard, OH 43026","2131 Ripple Rd",NA,"Hilliard","OH","43026","Franklin",39.995,-83.1652,"Single Family","Standard",3,2.5,1792,5227,2002,"Active",2660,"2025-07-26T00:00:00.000Z","list()",40
"1","5863-Scioto-Darby-Rd,-Hilliard,-OH-43026","5863 Scioto Darby Rd, Hilliard, OH 43026","5863 Scioto Darby Rd",NA,"Hilliard","OH","43026","Franklin",40.0311,-83.1665,"Apartment","Standard",1,1,608,NA,2003,"Active",1226,"2025-02-14T00:00:00.000Z","list()",202
"1","1794-Bennigan-Dr,-Unit-132D,-Hilliard,-OH-43026","1794 Bennigan Dr, Unit 132D, Hilliard, OH 43026","1794 Bennigan Dr","Unit 132D","Hilliard","OH","43026","Franklin",39.9874,-83.1554,"Condo","Standard",2,2,1240,436,1997,"Active",1995,"2025-08-11T00:00:00.000Z","list()",24
"1","3390-Smileys-Cor,-Hilliard,-OH-43026","3390 Smileys Cor, Hilliard, OH 43026","3390 Smileys Cor",NA,"Hilliard","OH","43026","Franklin",40.0232,-83.1124,"Condo","Standard",2,2,1152,436,1988,"Active",1450,"2025-08-13T00:00:00.000Z","list()",22
"1","3251-Foxpoint-Dr,-Hilliard,-OH-43026","3251 Foxpoint Dr, Hilliard, OH 43026","3251 Foxpoint Dr",NA,"Hilliard","OH","43026","Franklin",40.0176,-83.1562,"Single Family","Standard",4,2.5,1630,10019,1991,"Active",2600,"2025-08-18T00:00:00.000Z","list()",17
"1","4833-King-Albert-Dr,-Unit-3B,-Hilliard,-OH-43026","4833 King Albert Dr, Unit 3B, Hilliard, OH 43026","4833 King Albert Dr","Unit 3B","Hilliard","OH","43026","Franklin",40.0504,-83.1597,"Single Family","Standard",3,2.5,1344,NA,1989,"Active",2000,"2025-08-20T00:00:00.000Z","list()",15
"1","4667-4669-Point-Pleasant-Dr,-Hilliard,-OH-43026","4667-4669 Point Pleasant Dr, Hilliard, OH 43026","4667-4669 Point Pleasant Dr",NA,"Hilliard","OH","43026","Franklin",40.0204,-83.1388,"Apartment","Standard",3,1.5,1200,NA,NA,"Active",1700,"2025-08-23T00:00:00.000Z","list()",12
"1","1812-Bennigan-Dr,-Unit-88C,-Hilliard,-OH-43026","1812 Bennigan Dr, Unit 88C, Hilliard, OH 43026","1812 Bennigan Dr","Unit 88C","Hilliard","OH","43026","Franklin",39.988,-83.1558,"Condo","Standard",2,1.5,NA,NA,NA,"Active",1749,"2025-08-25T00:00:00.000Z","list()",10
"1","4455-Condor-Dr,-Hilliard,-OH-43026","4455 Condor Dr, Hilliard, OH 43026","4455 Condor Dr",NA,"Hilliard","OH","43026","Franklin",40.0162,-83.1756,"Apartment","Standard",0,1,545,NA,NA,"Active",1302,"2025-03-18T00:00:00.000Z","list()",170
"1","6373-Meadows-Way,-Hilliard,-OH-43026","6373 Meadows Way, Hilliard, OH 43026","6373 Meadows Way",NA,"Hilliard","OH","43026","Franklin",40.0041,-83.1796,"Apartment","Standard",1,1,780,NA,2012,"Active",1295,"2024-04-12T00:00:00.000Z","list()",510
