"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","hoa.fee","status","price","listedDate","removedDate","daysOnMarket"
"1","Davidson-Rd,-Hilliard,-OH-43026","Davidson Rd, Hilliard, OH 43026","Davidson Rd",NA,"Hilliard","OH","43026","Franklin",40.0484,-83.1396,"Land","Standard",NA,NA,NA,1679674,NA,NA,"Active",8488000,"2017-11-02T00:00:00.000Z","list()",2863
"1","Hickory-Chase-Way,-Hilliard,-OH-43026","Hickory Chase Way, Hilliard, OH 43026","Hickory Chase Way",NA,"Hilliard","OH","43026","Franklin",40.0475,-83.1374,"Land","Standard",NA,NA,NA,149411,NA,NA,"Active",395000,"2024-03-05T00:00:00.000Z","list()",548
"1","Hayden-Run-Rd,-Lot-5,-Hilliard,-OH-43026","Hayden Run Rd, Lot 5, Hilliard, OH 43026","Hayden Run Rd","Lot 5","Hilliard","OH","43026","Franklin",40.0461,-83.2404,"Land","Standard",NA,NA,NA,422096,NA,NA,"Active",700000,"2024-09-10T00:00:00.000Z","list()",359
"1","Feder-Rd,-Hilliard,-OH-43026","Feder Rd, Hilliard, OH 43026","Feder Rd",NA,"Hilliard","OH","43026","Franklin",39.9728,-83.1981,"Land","Standard",NA,NA,NA,459994,NA,NA,"Active",480000,"2024-12-23T00:00:00.000Z","list()",255
"1","3578-Braidwood-Dr,-Hilliard,-OH-43026","3578 Braidwood Dr, Hilliard, OH 43026","3578 Braidwood Dr",NA,"Hilliard","OH","43026","Franklin",40.0476,-83.1131,"Single Family","Standard",3,2.5,1953,11761,1955,NA,"Active",423800,"2025-01-31T00:00:00.000Z","list()",216
"1","8871-Patterson-Rd,-Hilliard,-OH-43026","8871 Patterson Rd, Hilliard, OH 43026","8871 Patterson Rd",NA,"Hilliard","OH","43026","Franklin",39.9991,-83.2432,"Single Family","Standard",4,3,2300,915196,1987,NA,"Active",1300000,"2025-03-08T00:00:00.000Z","list()",180
"1","2573-Sycamore-Trce,-Hilliard,-OH-43026","2573 Sycamore Trce, Hilliard, OH 43026","2573 Sycamore Trce",NA,"Hilliard","OH","43026","Franklin",40.0017,-83.1915,"Single Family","Standard",6,5.5,6719,22216,2005,NA,"Active",1399999,"2025-03-25T00:00:00.000Z","list()",163
"1","6891-Woodedge-Ln,-Hilliard,-OH-43026","6891 Woodedge Ln, Hilliard, OH 43026","6891 Woodedge Ln",NA,"Hilliard","OH","43026","Franklin",40.0041,-83.1949,"Single Family","New Construction",6,5.5,6719,32234,2025,NA,"Active",1599000,"2025-03-24T00:00:00.000Z","list()",164
"1","6899-Woodedge-Ln,-Hilliard,-OH-43026","6899 Woodedge Ln, Hilliard, OH 43026","6899 Woodedge Ln",NA,"Hilliard","OH","43026","Franklin",40.0041,-83.1944,"Single Family","New Construction",6,5.5,6719,21780,2025,NA,"Active",1499000,"2025-03-24T00:00:00.000Z","list()",164
"1","6756-Lakeside-Pl,-Hilliard,-OH-43026","6756 Lakeside Pl, Hilliard, OH 43026","6756 Lakeside Pl",NA,"Hilliard","OH","43026","Franklin",40.0042,-83.192,"Single Family","Standard",6,5.5,6719,17424,2025,NA,"Active",1349999,"2025-03-25T00:00:00.000Z","list()",163
"1","3821-Aviary-Loop,-Hilliard,-OH-43026","3821 Aviary Loop, Hilliard, OH 43026","3821 Aviary Loop",NA,"Hilliard","OH","43026","Franklin",40.026,-83.2027,"Single Family","Standard",5,3,3168,18295,2023,7,"Active",713000,"2025-04-11T00:00:00.000Z","list()",146
"1","3318-Darbyshire-Dr,-Hilliard,-OH-43026","3318 Darbyshire Dr, Hilliard, OH 43026","3318 Darbyshire Dr",NA,"Hilliard","OH","43026","Franklin",40.0457,-83.1077,"Single Family","Standard",5,2.5,2284,19166,1959,NA,"Active",424900,"2025-04-18T00:00:00.000Z","list()",139
"1","2263-Amity-Rd,-Hilliard,-OH-43026","2263 Amity Rd, Hilliard, OH 43026","2263 Amity Rd",NA,"Hilliard","OH","43026","Franklin",39.9936,-83.2473,"Single Family","Standard",2,1.5,1232,108900,1895,NA,"Active",495000,"2025-04-24T00:00:00.000Z","list()",133
"1","6741-Cat-Singer-Cir-N,-Hilliard,-OH-43026","6741 Cat Singer Cir N, Hilliard, OH 43026","6741 Cat Singer Cir N",NA,"Hilliard","OH","43026","Franklin",40.0513,-83.1981,"Single Family","Standard",3,2,1840,6534,2021,122,"Active",440000,"2025-04-30T00:00:00.000Z","list()",127
"1","5961-Hayden-Run-Rd,-Hilliard,-OH-43026","5961 Hayden Run Rd, Hilliard, OH 43026","5961 Hayden Run Rd",NA,"Hilliard","OH","43026","Franklin",40.0544,-83.1626,"Single Family","Standard",4,2.5,2152,34412,1987,NA,"Active",574900,"2025-05-05T00:00:00.000Z","list()",122
"1","2012-Mirtillo-Dr,-Lot-335,-Hilliard,-OH-43026","2012 Mirtillo Dr, Lot 335, Hilliard, OH 43026","2012 Mirtillo Dr","Lot 335","Hilliard","OH","43026","Franklin",39.9918,-83.1766,"Single Family","New Construction",4,2.5,3008,6098,2025,95,"Active",574900,"2025-05-05T00:00:00.000Z","list()",122
"1","6320-Anguria-Dr,-Lot-245,-Hilliard,-OH-43026","6320 Anguria Dr, Lot 245, Hilliard, OH 43026","6320 Anguria Dr","Lot 245","Hilliard","OH","43026","Franklin",39.9916,-83.1781,"Single Family","New Construction",4,2.5,2453,6098,2025,95,"Active",549900,"2025-05-05T00:00:00.000Z","list()",122
"1","6600-Davis-Rd,-Hilliard,-OH-43026","6600 Davis Rd, Hilliard, OH 43026","6600 Davis Rd",NA,"Hilliard","OH","43026","Franklin",40.0299,-83.188,"Single Family","Standard",4,2.5,2960,47045,1968,NA,"Active",565000,"2025-05-05T00:00:00.000Z","list()",122
"1","6344-Zuccaro-Dr,-Lot-136,-Hilliard,-OH-43026","6344 Zuccaro Dr, Lot 136, Hilliard, OH 43026","6344 Zuccaro Dr","Lot 136","Hilliard","OH","43026","Franklin",39.9879,-83.178,"Single Family","New Construction",3,3,2784,6098,2022,95,"Active",589900,"2025-05-06T00:00:00.000Z","list()",121
"1","6580-Davis-Rd,-Hilliard,-OH-43026","6580 Davis Rd, Hilliard, OH 43026","6580 Davis Rd",NA,"Hilliard","OH","43026","Franklin",40.03,-83.1872,"Single Family","Standard",3,3,2040,41818,1976,NA,"Active",479000,"2025-05-14T00:00:00.000Z","list()",113
"1","8430-Patterson-Rd,-Hilliard,-OH-43026","8430 Patterson Rd, Hilliard, OH 43026","8430 Patterson Rd",NA,"Hilliard","OH","43026","Franklin",40.0072,-83.2342,"Single Family","Standard",3,2.5,2762,272686,1963,NA,"Active",700000,"2025-05-28T00:00:00.000Z","list()",99
"1","4409-Gary-Way,-Hilliard,-OH-43026","4409 Gary Way, Hilliard, OH 43026","4409 Gary Way",NA,"Hilliard","OH","43026","Franklin",40.0407,-83.1758,"Single Family","Standard",3,2,2097,10890,2002,27,"Active",505000,"2025-05-22T00:00:00.000Z","list()",105
"1","2733-Sycamore-Trce,-Hilliard,-OH-43026","2733 Sycamore Trce, Hilliard, OH 43026","2733 Sycamore Trce",NA,"Hilliard","OH","43026","Franklin",40.0035,-83.1903,"Single Family","Standard",6,5.5,5299,12632,2024,29,"Active",999000,"2025-05-23T00:00:00.000Z","list()",104
"1","6223-Hayden-Run-Rd,-Hilliard,-OH-43026","6223 Hayden Run Rd, Hilliard, OH 43026","6223 Hayden Run Rd",NA,"Hilliard","OH","43026","Franklin",40.0568,-83.1728,"Land","Standard",NA,NA,NA,80586,NA,NA,"Active",999900,"2025-05-21T00:00:00.000Z","list()",106
"1","2643-Westrock-Dr,-Hilliard,-OH-43026","2643 Westrock Dr, Hilliard, OH 43026","2643 Westrock Dr",NA,"Hilliard","OH","43026","Franklin",40.0048,-83.1743,"Single Family","Standard",4,2.5,2481,7405,2000,6,"Active",420000,"2025-05-28T00:00:00.000Z","list()",99
"1","4502-Bens-Ct,-Unit-31,-Hilliard,-OH-43026","4502 Bens Ct, Unit 31, Hilliard, OH 43026","4502 Bens Ct","Unit 31","Hilliard","OH","43026","Franklin",40.0425,-83.1832,"Condo","Standard",2,2.5,2261,2178,2013,450,"Active",405000,"2025-06-03T00:00:00.000Z","list()",93
"1","4209-Avery-Rd,-Hilliard,-OH-43026","4209 Avery Rd, Hilliard, OH 43026","4209 Avery Rd",NA,"Hilliard","OH","43026","Franklin",40.0377,-83.1568,"Single Family","Standard",3,1,1186,10454,1952,NA,"Active",289900,"2025-05-30T00:00:00.000Z","list()",97
"1","4854-Piedmont-Dr,-Hilliard,-OH-43026","4854 Piedmont Dr, Hilliard, OH 43026","4854 Piedmont Dr",NA,"Hilliard","OH","43026","Franklin",40.05,-83.1703,"Single Family","Standard",3,3,3067,6098,2022,268,"Active",725000,"2025-05-31T00:00:00.000Z","list()",96
"1","5608-Maple-Dell-Ct,-Hilliard,-OH-43026","5608 Maple Dell Ct, Hilliard, OH 43026","5608 Maple Dell Ct",NA,"Hilliard","OH","43026","Franklin",40.0419,-83.1689,"Single Family","Standard",4,2.5,2654,12632,2009,25,"Active",549900,"2025-06-06T00:00:00.000Z","list()",90
"1","1993-Schrive-Dr,-Hilliard,-OH-43026","1993 Schrive Dr, Hilliard, OH 43026","1993 Schrive Dr",NA,"Hilliard","OH","43026","Franklin",39.9919,-83.1639,"Single Family","Standard",4,2.5,2042,7841,2002,20,"Active",390000,"2025-06-10T00:00:00.000Z","list()",86
"1","5062-Stoneybrook-Blvd,-Unit-3F,-Hilliard,-OH-43026","5062 Stoneybrook Blvd, Unit 3F, Hilliard, OH 43026","5062 Stoneybrook Blvd","Unit 3F","Hilliard","OH","43026","Franklin",40.0172,-83.1469,"Condo","Standard",3,1.5,1031,436,1989,342,"Active",240000,"2025-06-11T00:00:00.000Z","list()",85
"1","5690-Kilbury-Ln,-Unit-120D,-Hilliard,-OH-43026","5690 Kilbury Ln, Unit 120D, Hilliard, OH 43026","5690 Kilbury Ln","Unit 120D","Hilliard","OH","43026","Franklin",39.9864,-83.1557,"Condo","Standard",2,1.5,832,436,1994,250,"Active",210000,"2025-06-13T00:00:00.000Z","list()",83
"1","4809-King-Albert-Dr,-Unit-1A,-Hilliard,-OH-43026","4809 King Albert Dr, Unit 1A, Hilliard, OH 43026","4809 King Albert Dr","Unit 1A","Hilliard","OH","43026","Franklin",40.0499,-83.1596,"Condo","Standard",3,2.5,1644,871,1989,220,"Active",225000,"2025-06-13T00:00:00.000Z","list()",83
"1","3984-Hill-Park-Rd,-Hilliard,-OH-43026","3984 Hill Park Rd, Hilliard, OH 43026","3984 Hill Park Rd",NA,"Hilliard","OH","43026","Franklin",40.0319,-83.1743,"Condo","Standard",2,2.5,1364,871,2003,280,"Active",294900,"2025-06-12T00:00:00.000Z","list()",84
"1","3956-Darby-Park-Rd,-Hilliard,-OH-43026","3956 Darby Park Rd, Hilliard, OH 43026","3956 Darby Park Rd",NA,"Hilliard","OH","43026","Franklin",40.0317,-83.1737,"Condo","Standard",3,2.5,1777,871,2003,280,"Active",299999,"2025-06-14T00:00:00.000Z","list()",82
"1","4860-Britton-Farms-Dr,-Hilliard,-OH-43026","4860 Britton Farms Dr, Hilliard, OH 43026","4860 Britton Farms Dr",NA,"Hilliard","OH","43026","Franklin",40.0519,-83.1426,"Single Family","Standard",3,2.5,2650,11326,1998,8,"Active",535000,"2025-06-16T00:00:00.000Z","list()",80
"1","4830-Stoneybrook-Blvd,-Unit-28E,-Hilliard,-OH-43026","4830 Stoneybrook Blvd, Unit 28E, Hilliard, OH 43026","4830 Stoneybrook Blvd","Unit 28E","Hilliard","OH","43026","Franklin",40.0175,-83.1415,"Condo","Standard",2,1.5,832,436,1989,313,"Active",175000,"2025-06-18T00:00:00.000Z","list()",78
"1","6724-Cat-Singer-Cir-S,-Hilliard,-OH-43026","6724 Cat Singer Cir S, Hilliard, OH 43026","6724 Cat Singer Cir S",NA,"Hilliard","OH","43026","Franklin",40.051,-83.1977,"Single Family","Standard",3,2,1862,6534,2019,122,"Active",429000,"2025-06-19T00:00:00.000Z","list()",77
"1","4200-Bowmansroot-Ct,-Hilliard,-OH-43026","4200 Bowmansroot Ct, Hilliard, OH 43026","4200 Bowmansroot Ct",NA,"Hilliard","OH","43026","Franklin",40.0403,-83.1081,"Single Family","Standard",4,2.5,2630,9583,1988,5,"Active",509900,"2025-06-20T00:00:00.000Z","list()",76
"1","4388-Knickel-Dr,-Hilliard,-OH-43026","4388 Knickel Dr, Hilliard, OH 43026","4388 Knickel Dr",NA,"Hilliard","OH","43026","Franklin",40.0189,-83.1307,"Single Family","Standard",4,2.5,2048,8276,1993,NA,"Active",464900,"2025-06-25T00:00:00.000Z","list()",71
"1","2657-Amberwick-Pl,-Hilliard,-OH-43026","2657 Amberwick Pl, Hilliard, OH 43026","2657 Amberwick Pl",NA,"Hilliard","OH","43026","Franklin",40.0054,-83.1652,"Single Family","Standard",3,1.5,1385,9583,1991,NA,"Active",384200,"2025-06-26T00:00:00.000Z","list()",70
"1","2755-Rustling-Oak-Blvd,-Hilliard,-OH-43026","2755 Rustling Oak Blvd, Hilliard, OH 43026","2755 Rustling Oak Blvd",NA,"Hilliard","OH","43026","Franklin",40.0076,-83.1595,"Single Family","Standard",4,2.5,2204,9583,1994,NA,"Active",444900,"2025-06-27T00:00:00.000Z","list()",69
"1","6736-Brookview-Pl,-Hilliard,-OH-43026","6736 Brookview Pl, Hilliard, OH 43026","6736 Brookview Pl",NA,"Hilliard","OH","43026","Franklin",40.0072,-83.1928,"Single Family","New Construction",4,2.5,3114,12632,2025,NA,"Active",749990,"2025-06-27T00:00:00.000Z","list()",69
"1","5256-Redmond-Ct,-Hilliard,-OH-43026","5256 Redmond Ct, Hilliard, OH 43026","5256 Redmond Ct",NA,"Hilliard","OH","43026","Franklin",40.0205,-83.1524,"Single Family","Standard",3,1.5,1160,10890,1992,NA,"Active",325000,"2025-07-01T00:00:00.000Z","list()",65
"1","5289-Crescent-Dr,-Hilliard,-OH-43026","5289 Crescent Dr, Hilliard, OH 43026","5289 Crescent Dr",NA,"Hilliard","OH","43026","Franklin",40.043,-83.1605,"Single Family","Standard",3,1,960,8712,1957,NA,"Active",259000,"2025-07-01T00:00:00.000Z","list()",65
"1","5630-Valencia-Park-Blvd,-Unit-20C,-Hilliard,-OH-43026","5630 Valencia Park Blvd, Unit 20C, Hilliard, OH 43026","5630 Valencia Park Blvd","Unit 20C","Hilliard","OH","43026","Franklin",39.9922,-83.1559,"Condo","Standard",2,2,1279,436,1992,322,"Active",229999,"2025-07-02T00:00:00.000Z","list()",64
"1","6009-Coventry-Bend-Dr,-Hilliard,-OH-43026","6009 Coventry Bend Dr, Hilliard, OH 43026","6009 Coventry Bend Dr",NA,"Hilliard","OH","43026","Franklin",40.0365,-83.1771,"Condo","Standard",3,2.5,1893,1742,2003,355,"Active",365000,"2025-07-02T00:00:00.000Z","list()",64
"1","4462-Kabarda-Way,-Hilliard,-OH-43026","4462 Kabarda Way, Hilliard, OH 43026","4462 Kabarda Way",NA,"Hilliard","OH","43026","Franklin",40.0403,-83.2008,"Single Family","New Construction",4,2.5,2457,6534,2025,50,"Active",588500,"2025-07-02T00:00:00.000Z","list()",64
"1","1756-Zucchina-Dr,-Hilliard,-OH-43026","1756 Zucchina Dr, Hilliard, OH 43026","1756 Zucchina Dr",NA,"Hilliard","OH","43026","Franklin",39.9866,-83.1732,"Single Family","Standard",3,3,2784,6534,2024,190,"Active",569900,"2025-07-02T00:00:00.000Z","list()",64
"1","5983-Cape-Coral-Ln,-Hilliard,-OH-43026","5983 Cape Coral Ln, Hilliard, OH 43026","5983 Cape Coral Ln",NA,"Hilliard","OH","43026","Franklin",39.9884,-83.1643,"Single Family","Standard",3,2.5,1280,7405,1989,NA,"Active",377200,"2025-07-04T00:00:00.000Z","list()",62
"1","2948-Bohlen-Dr,-Hilliard,-OH-43026","2948 Bohlen Dr, Hilliard, OH 43026","2948 Bohlen Dr",NA,"Hilliard","OH","43026","Franklin",40.0114,-83.1612,"Single Family","Standard",4,2.5,2317,8276,2001,NA,"Active",484900,"2025-07-10T00:00:00.000Z","list()",56
"1","5605-Brickstone-Pl,-Hilliard,-OH-43026","5605 Brickstone Pl, Hilliard, OH 43026","5605 Brickstone Pl",NA,"Hilliard","OH","43026","Franklin",40.0235,-83.1647,"Condo","Standard",2,2,1269,2178,1995,410,"Active",349000,"2025-07-09T00:00:00.000Z","list()",57
"1","2477-Crystal-Springs-Dr,-Hilliard,-OH-43026","2477 Crystal Springs Dr, Hilliard, OH 43026","2477 Crystal Springs Dr",NA,"Hilliard","OH","43026","Franklin",40.0021,-83.148,"Condo","Standard",2,2,986,1742,1997,361,"Active",249500,"2025-07-10T00:00:00.000Z","list()",56
"1","3409-Eastwoodlands-Trl,-Hilliard,-OH-43026","3409 Eastwoodlands Trl, Hilliard, OH 43026","3409 Eastwoodlands Trl",NA,"Hilliard","OH","43026","Franklin",40.0237,-83.112,"Condo","Standard",3,2.5,1268,871,1988,470,"Active",296900,"2025-07-11T00:00:00.000Z","list()",55
"1","5851-Dena-Dr,-Hilliard,-OH-43026","5851 Dena Dr, Hilliard, OH 43026","5851 Dena Dr",NA,"Hilliard","OH","43026","Franklin",40.014,-83.1704,"Single Family","Standard",4,2.5,2052,9583,1999,NA,"Active",430000,"2025-07-11T00:00:00.000Z","list()",55
"1","5792-Nike-Dr,-Hilliard,-OH-43026","5792 Nike Dr, Hilliard, OH 43026","5792 Nike Dr",NA,"Hilliard","OH","43026","Franklin",39.9986,-83.1591,"Single Family","Standard",3,2.5,1896,8276,1992,NA,"Active",374900,"2025-07-13T00:00:00.000Z","list()",53
"1","3566-Fishinger-Mill-Dr,-Hilliard,-OH-43026","3566 Fishinger Mill Dr, Hilliard, OH 43026","3566 Fishinger Mill Dr",NA,"Hilliard","OH","43026","Franklin",40.0247,-83.1116,"Condo","Standard",2,2,1188,436,1988,312,"Active",245000,"2025-07-15T00:00:00.000Z","list()",51
"1","5052-Bressler-Dr,-Hilliard,-OH-43026","5052 Bressler Dr, Hilliard, OH 43026","5052 Bressler Dr",NA,"Hilliard","OH","43026","Franklin",40.0062,-83.144,"Single Family","Standard",3,2.5,1400,5663,1994,NA,"Active",349900,"2025-07-16T00:00:00.000Z","list()",50
"1","4825-Hillcrest-St-S,-Hilliard,-OH-43026","4825 Hillcrest St S, Hilliard, OH 43026","4825 Hillcrest St S",NA,"Hilliard","OH","43026","Franklin",40.0284,-83.1448,"Single Family","Standard",3,2,1694,8712,1959,NA,"Active",323900,"2025-07-17T00:00:00.000Z","list()",49
